"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C3","CAPC1608X90N","78.7mm","109.2mm","78.7mm","109.2mm","78.7mm","109.2mm","B","90.0","C1608X8L1C105K080AC"
"R1","RESC3216X70N","99.5mm","102.0mm","99.5mm","102.0mm","99.5mm","102.0mm","B","270.0","RMCF1206JT200R"
